ticker,Name,sector,portfolio_sleeve_label,portfolio_candidate_gate_label,governance_catalyst_score,governance_catalyst_label,event_regime_label,live_event_alert_label,portfolio_monster_early_score,rs_acceleration_score,market_cap_live,ownership_flow_pillar_score,insider_cluster_boost_score,event_revision_pillar_score,selection_flow_confirmation_score,event_reaction_score,live_event_growth_reentry_score,live_event_defensive_score,live_event_risk_score,focus_live_event_growth_score,focus_event_stress_penalty
MTSI,MACOM TECHNOLOGY SOLUTIONS INC,Information Technology,future_winner,future_relaxed,0.7532001177132508,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.8764836332808,27457323519.65796,0.0666666666666666,0.0,0.7290393242391124,0.2,3.4616399237237827,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4864263358995336,0.0
NVT,NVENT ELECTRIC PLC,Industrials,future_winner,future_relaxed,0.7414155449233577,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.0458614846267489,27484390323.868347,0.0666666666666666,0.0,1.532316008684872,0.2,2.312040525863483,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3406351964561138,0.0
VRT,VERTIV HOLDINGS CLASS A,Industrials,core_compounder,core_strict,0.7358632861677628,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.5848137946223133,130585474644.40285,0.0666666666666666,0.0,1.6246378102099257,0.2,2.151929732126112,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4422604272919144,0.0
ELV,ELEVANCE HEALTH INC,Health Care,unassigned,rejected,0.734227101979334,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,1.6819345754282466,82102582597.14478,0.0666666666666666,0.0,1.559207096058715,0.2,2.228262789738201,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1051951219428261,0.0
FSLR,FIRST SOLAR INC,Information Technology,future_winner,future_relaxed,0.7232734048543947,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-1.3701734953997284,23634366863.92836,0.0666666666666666,0.0,1.9299792983429285,0.2,1.6619195636455162,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1494352968777054,0.0006266146715167
NEM,NEWMONT,Materials,future_winner,rejected,0.703355037339543,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-2.7331916265607417,124380574814.17874,0.0666666666666666,0.0,1.814319782867671,0.2,1.6822987763943198,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2658084570667062,0.0
UMC,United Microelectronics,Semiconductors,future_winner,adr_global_alpha_fallback,0.7032889201200285,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.9896288051146942,38779322368.0,0.0666666666666666,0.0,0.8018154746515339,0.2,3.0318637392190726,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.3125268361552474,0.0
APO,APOLLO GLOBAL MANAGEMENT INC,Financials,future_winner,future_relaxed,0.7014680073740966,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.4940760383905535,76792130972.20818,0.0666666666666666,0.0,1.375233366637843,0.2,2.256837063973867,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.0474607509530166,0.0010019594256512
MRVL,MARVELL TECHNOLOGY INC,Information Technology,future_winner,future_relaxed,0.6797614315251335,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.6581997625886169,147332584228.51562,0.0666666666666666,0.0,1.1524024637177308,0.2,2.407564496498176,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.4070918884375488,0.0
CIEN,CIENA CORP,Information Technology,future_winner,future_relaxed,0.6711954831184115,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.0,77292442127.33154,0.0666666666666666,0.0,1.1063306802983226,0.2,2.411887218345907,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.5451763345175838,0.0
JAZZ,JAZZ PHARMACEUTICALS PLC,Health Care,future_winner,future_relaxed,0.6644190513611183,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,-0.3131458405594158,14166700906.55304,0.0666666666666666,0.0,1.1018428131971976,0.0,2.3726948294321195,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.2536793486046517,0.0
SBUX,STARBUCKS CORP,Consumer Discretionary,future_winner,future_relaxed,0.6416072653842073,revision_event+growth_reentry,balanced,growth_reentry_alert,0.0,0.1596457704993452,119588721347.80884,0.0666666666666666,0.0,1.1081978283680438,0.2,2.2121429026915846,0.7164084448521353,0.0653792703096163,0.0139783207134109,0.1592471360258939,0.0
