ticker,Name,Sector,Asset Class,Market Value
DRI,DARDEN RESTAURANTS INC,Consumer Discretionary,Equity,"16,097,481.80"
DRS,LEONARDO DRS INC,Industrials,Equity,"2,147,002.72"
DT,DYNATRACE INC,Information Technology,Equity,"7,365,216.30"
DTE,DTE ENERGY,Utilities,Equity,"21,235,907.50"
DTM,DT MIDSTREAM INC,Energy,Equity,"9,519,660.00"
DUK,DUKE ENERGY CORP,Utilities,Equity,"69,427,360.65"
DUOL,DUOLINGO INC CLASS A,Consumer Discretionary,Equity,"2,723,091.30"
DV,DOUBLEVERIFY HOLDINGS INC,Communication,Equity,"1,048,287.35"
DVA,DAVITA INC,Health Care,Equity,"3,694,831.20"
DVN,DEVON ENERGY CORP,Energy,Equity,"20,885,156.40"
DXC,DXC TECHNOLOGY,Information Technology,Equity,"1,436,417.94"
DXCM,DEXCOM INC,Health Care,Equity,"16,783,967.10"
EA,ELECTRONIC ARTS INC,Communication,Equity,"35,775,141.95"
EBAY,EBAY INC,Consumer Discretionary,Equity,"31,684,218.54"
ECG,EVERUS CONSTRUCTION GROUP INC,Industrials,Equity,"5,074,104.75"
ECL,ECOLAB INC,Materials,Equity,"47,010,796.96"
ED,CONSOLIDATED EDISON INC,Utilities,Equity,"27,554,558.87"
EEFT,EURONET WORLDWIDE INC,Financials,Equity,"2,047,187.52"
EFX,EQUIFAX INC,Industrials,Equity,"14,557,978.93"
EG,EVEREST GROUP LTD,Financials,Equity,"10,111,167.68"
EGP,EASTGROUP PROPERTIES REIT INC,Real Estate,Equity,"7,288,626.24"
EHC,ENCOMPASS HEALTH CORP,Health Care,Equity,"6,914,130.12"
EIX,EDISON INTERNATIONAL,Utilities,Equity,"18,248,602.67"
EL,ESTEE LAUDER INC CLASS A,Consumer Staples,Equity,"13,244,684.04"
ELAN,ELANCO ANIMAL HEALTH INC,Health Care,Equity,"7,531,452.96"
ELF,ELF BEAUTY INC,Consumer Staples,Equity,"2,351,076.84"
ELS,EQUITY LIFESTYLE PROPERTIES REIT I,Real Estate,Equity,"8,320,602.89"
ELV,ELEVANCE HEALTH INC,Health Care,Equity,"55,411,691.22"
EME,EMCOR GROUP INC,Industrials,Equity,"27,568,437.12"
EMN,EASTMAN CHEMICAL,Materials,Equity,"5,770,097.98"
EMR,EMERSON ELECTRIC,Industrials,Equity,"56,061,024.25"
ENPH,ENPHASE ENERGY INC,Information Technology,Equity,"3,243,454.36"
ENTG,ENTEGRIS INC,Information Technology,Equity,"16,395,537.76"
EOG,EOG RESOURCES INC,Energy,Equity,"51,045,907.40"
EPAM,EPAM SYSTEMS INC,Information Technology,Equity,"4,514,107.41"
EPR,EPR PROPERTIES REIT,Real Estate,Equity,"2,833,116.79"
EQH,EQUITABLE HOLDINGS INC,Financials,Equity,"9,006,336.45"
EQIX,EQUINIX REIT INC,Real Estate,Equity,"74,809,483.70"
EQR,EQUITY RESIDENTIAL REIT,Real Estate,Equity,"16,491,243.04"
