date,leader_basket_level,available_tickers,target_tickers,available_weight
2022-03-16,253.81556836588535,2,2,1.0
2022-03-17,259.3581597060645,2,2,1.0
2022-03-18,259.42464471193006,2,2,1.0
2022-03-21,261.81367277258977,2,2,1.0
2022-03-22,264.60365924590076,2,2,1.0
2022-03-23,262.5172155748892,2,2,1.0
2022-03-24,268.67134123605285,2,2,1.0
2022-03-25,269.94406425217187,2,2,1.0
2022-03-28,262.95009882608207,2,2,1.0
2022-03-29,263.70382353645834,2,2,1.0
2022-03-30,263.0093968508255,2,2,1.0
2022-03-31,260.69867981645797,2,2,1.0
2022-04-01,264.6124197250849,2,2,1.0
2022-04-04,261.96696919822335,2,2,1.0
2022-04-05,257.85839883454486,2,2,1.0
2022-04-06,259.05266125093135,2,2,1.0
2022-04-07,261.53450007472867,2,2,1.0
2022-04-08,262.1747608494941,2,2,1.0
2022-04-11,260.4124973530078,2,2,1.0
2022-04-12,262.9727673321088,2,2,1.0
2022-04-13,268.077035144578,2,2,1.0
2022-04-14,269.5810266178348,2,2,1.0
2022-04-18,275.1918309696182,2,2,1.0
2022-04-19,276.800255338299,2,2,1.0
2022-04-20,278.84364054785516,2,2,1.0
2022-04-21,277.43878506203095,2,2,1.0
2022-04-22,267.7875333640994,2,2,1.0
2022-04-25,261.6098912151993,2,2,1.0
2022-04-26,256.95669970591916,2,2,1.0
2022-04-27,258.26063359345926,2,2,1.0
2022-04-28,263.30221603662125,2,2,1.0
2022-04-29,259.1563182182056,2,2,1.0
2022-05-02,260.3937329372034,2,2,1.0
2022-05-03,263.8042961079759,2,2,1.0
2022-05-04,273.62321243298936,2,2,1.0
2022-05-05,262.73439060051635,2,2,1.0
2022-05-06,255.47519362980486,2,2,1.0
2022-05-09,243.321614896831,2,2,1.0
2022-05-10,244.0755541790125,2,2,1.0
2022-05-11,245.6026575163677,2,2,1.0
2022-05-12,238.3585346084833,2,2,1.0
2022-05-13,241.86973578845576,2,2,1.0
2022-05-16,243.0312514865033,2,2,1.0
2022-05-17,256.15334375150246,2,2,1.0
2022-05-18,247.07402274304866,2,2,1.0
2022-05-19,250.46458838666393,2,2,1.0
2022-05-20,247.73391129992336,2,2,1.0
2022-05-23,253.3610639849778,2,2,1.0
2022-05-24,250.1666776224928,2,2,1.0
2022-05-25,254.35489918419836,2,2,1.0
2022-05-26,259.4786979165871,2,2,1.0
2022-05-27,269.8815398337307,2,2,1.0
2022-05-31,267.8933380667471,2,2,1.0
2022-06-01,266.56582320014917,2,2,1.0
2022-06-02,268.8374180843845,2,2,1.0
2022-06-03,267.5664516265106,2,2,1.0
2022-06-06,271.8547355944913,2,2,1.0
2022-06-07,272.1340481667851,2,2,1.0
2022-06-08,267.3760908209552,2,2,1.0
2022-06-09,260.5868569757102,2,2,1.0
2022-06-10,256.4300944588023,2,2,1.0
2022-06-13,245.43321509096197,2,2,1.0
2022-06-14,240.14710749351406,2,2,1.0
2022-06-15,244.95561102831468,2,2,1.0
2022-06-16,240.96805874494632,2,2,1.0
2022-06-17,240.28124832511048,2,2,1.0
2022-06-21,246.2245276727667,2,2,1.0
2022-06-22,246.54575067496887,2,2,1.0
2022-06-23,249.12958400691903,2,2,1.0
2022-06-24,257.7924114722791,2,2,1.0
2022-06-27,260.4944432401047,2,2,1.0
2022-06-28,261.0335122737112,2,2,1.0
2022-06-29,258.39588347442134,2,2,1.0
2022-06-30,263.74836877239704,2,2,1.0
2022-07-01,268.48568178202436,2,2,1.0
2022-07-05,263.1863129042266,2,2,1.0
2022-07-06,269.1411037852931,2,2,1.0
2022-07-07,269.8369474020904,2,2,1.0
2022-07-08,270.18747383106455,2,2,1.0
2022-07-11,268.70303277976734,2,2,1.0
2022-07-12,264.97487081089986,2,2,1.0
2022-07-13,263.35028863861504,2,2,1.0
2022-07-14,260.4159381437172,2,2,1.0
2022-07-15,264.0870738522932,2,2,1.0
2022-07-18,257.611454655093,2,2,1.0
2022-07-19,261.53635967165013,2,2,1.0
