priority,source,book,ticker,action,journey_tag,entry_date,exit_date,status,months_held,total_return,recent_3m_return,max_weight,reason
75,holding_history,monster_lifecycle_main,WY,tighten_entry_or_fast_exit,quick_loss,2022-04-29,2022-05-31,closed,2.0,-0.1988797495102722,-0.1988797495102722,0.03,historical_quick_loss
75,holding_history,main_v2_research,STM,tighten_entry_or_fast_exit,quick_loss,2023-03-31,2023-03-31,closed,1.0,-0.1979245430969403,-0.1979245430969403,0.0186761685514659,historical_quick_loss
75,holding_history,main_v2_research,SHOP,tighten_entry_or_fast_exit,quick_loss,2019-08-30,2019-08-30,closed,1.0,-0.1936458470962108,-0.1936458470962108,0.1192005814524307,historical_quick_loss
75,holding_history,main_v2_research,CEG,tighten_entry_or_fast_exit,quick_loss,2025-02-28,2025-02-28,closed,1.0,-0.19269348080409165,-0.19269348080409165,0.0096863820849488,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,RGLD,tighten_entry_or_fast_exit,quick_loss,2026-02-27,2026-02-27,closed,1.0,-0.19000001232758001,-0.19000001232758001,0.05,historical_quick_loss
75,holding_history,monster_lifecycle_main,RGLD,tighten_entry_or_fast_exit,quick_loss,2026-02-27,2026-02-27,closed,1.0,-0.19000001232758001,-0.19000001232758001,0.0294117647058823,historical_quick_loss
75,holding_history,main_v2_research,SCCO,tighten_entry_or_fast_exit,quick_loss,2022-03-31,2022-03-31,closed,1.0,-0.18971591657169995,-0.18971591657169995,0.0210585257935164,historical_quick_loss
75,holding_history,main_v2_research,FSLR,tighten_entry_or_fast_exit,quick_loss,2023-03-31,2023-03-31,closed,1.0,-0.18796021984229683,-0.18796021984229683,0.0656677697995719,historical_quick_loss
75,holding_history,main_v2_research,LPX,tighten_entry_or_fast_exit,quick_loss,2022-04-29,2022-05-31,closed,2.0,-0.18515026920292976,-0.18515026920292976,0.15,historical_quick_loss
75,holding_history,main_v2_research,ALLE,tighten_entry_or_fast_exit,quick_loss,2020-02-28,2020-02-28,closed,1.0,-0.18482020856579973,-0.18482020856579973,0.0679244878787485,historical_quick_loss
75,holding_history,main_v2_research,GTLS,tighten_entry_or_fast_exit,quick_loss,2025-01-31,2025-01-31,closed,1.0,-0.17843298234051397,-0.17843298234051397,0.0484006427609393,historical_quick_loss
75,holding_history,main_v2_research,WCC,tighten_entry_or_fast_exit,quick_loss,2022-05-31,2022-05-31,closed,1.0,-0.17533273274016536,-0.17533273274016536,0.0428126332678852,historical_quick_loss
75,holding_history,monster_lifecycle_concentrated,VLO,tighten_entry_or_fast_exit,quick_loss,2022-05-31,2022-05-31,closed,1.0,-0.17294559509576923,-0.17294559509576923,0.05,historical_quick_loss
75,holding_history,monster_lifecycle_main,VLO,tighten_entry_or_fast_exit,quick_loss,2022-05-31,2022-05-31,closed,1.0,-0.17294559509576923,-0.17294559509576923,0.03,historical_quick_loss
75,holding_history,lifecycle_review_overlay_main,CSL,tighten_entry_or_fast_exit,quick_loss,2022-08-31,2022-09-30,closed,2.0,-0.17278484194949606,-0.17278484194949606,0.1498187697827165,historical_quick_loss
75,holding_history,main_v2_research,TT,tighten_entry_or_fast_exit,quick_loss,2020-02-28,2020-02-28,closed,1.0,-0.1723418328168972,-0.1723418328168972,0.15,historical_quick_loss
75,holding_history,main_v2_research,TPL,tighten_entry_or_fast_exit,quick_loss,2026-02-27,2026-03-31,open,2.0,-0.1711407633864146,-0.1711407633864146,0.15,historical_quick_loss
75,holding_history,main_v2_research,PLTR,tighten_entry_or_fast_exit,quick_loss,2025-10-31,2025-10-31,closed,1.0,-0.17023092048574207,-0.17023092048574207,0.0103542518140005,historical_quick_loss
