signal_date,effective_next_trading_day,portfolio,crisis_state,prior_cash_weight,target_cash_weight,policy_cash_floor,equity_drawdown,equity_drawdown_cash_floor,base_cash_floor,turnover_from_cash_action,estimated_cost_usd,cash_action
2022-05-02,2022-05-03,main,DEFENSE_REVIEW,0.8053433855848257,0.75,0.35,-0.2154895855591209,0.75,0.7215293678845249,0.055343385584825655,21.153319546354364,RELEASE_CASH
2022-07-01,2022-07-05,main,DEFENSE_REVIEW,0.75,0.7917115204448302,0.35,-0.2418725551743024,0.75,0.7917115204448302,0.041711520444830175,15.4067960316043,RAISE_CASH
2022-08-01,2022-08-02,main,DEFENSE_REVIEW,0.7917115204448302,0.75,0.35,-0.23208763798145982,0.75,0.3239104166072195,0.041711520444830175,15.60564679793017,RELEASE_CASH
2022-10-03,2022-10-04,main,CRISIS_DEFENSE,0.75,0.7912107926946977,0.55,-0.24025159900937776,0.75,0.7912107926946977,0.04121079269469774,15.254390386188883,RAISE_CASH
2022-11-01,2022-11-02,main,DEFENSE_REVIEW,0.7912107926946977,0.75,0.35,-0.2283848998661091,0.75,0.4435294561065834,0.04121079269469774,15.492652501766678,RELEASE_CASH
2023-06-30,2023-07-03,main,WATCH,0.75,0.65,0.15,-0.1991627911844186,0.55,0.1901561088617184,0.09999999999999998,39.017400974648204,RELEASE_CASH
2023-07-03,2023-07-05,main,WATCH,0.65,0.75,0.15,-0.2005123079261968,0.75,0.2393391520277254,0.09999999999999998,38.951651487416164,RAISE_CASH
2023-07-13,2023-07-14,main,GREEN,0.75,0.65,0.03,-0.19766556319919026,0.55,0.2366740075458221,0.09999999999999998,39.09034706657183,RELEASE_CASH
2023-07-14,2023-07-17,main,GREEN,0.65,0.75,0.03,-0.2005984757423539,0.75,0.2384454094531551,0.09999999999999998,38.947453325546185,RAISE_CASH
2023-07-17,2023-07-18,main,GREEN,0.75,0.65,0.03,-0.1957409790215352,0.55,0.233935951129309,0.09999999999999998,39.18411427886218,RELEASE_CASH
2023-07-18,2023-07-19,main,GREEN,0.65,0.55,0.03,-0.19325924558578167,0.55,0.2322399171216779,0.09999999999999998,39.30502622889283,RELEASE_CASH
2023-07-20,2023-07-21,main,GREEN,0.55,0.75,0.03,-0.20570947572173215,0.75,0.2384001379526865,0.19999999999999996,77.39688299938979,RAISE_CASH
2023-07-28,2023-07-31,main,GREEN,0.75,0.65,0.03,-0.19719920194258878,0.55,0.2304425867490266,0.09999999999999998,39.113068543480686,RELEASE_CASH
2023-07-31,2023-08-01,main,GREEN,0.65,0.55,0.03,-0.19573975108789787,0.55,0.2293992766217136,0.09999999999999998,39.184174104727624,RELEASE_CASH
2023-08-02,2023-08-03,main,GREEN,0.55,0.75,0.03,-0.2072276179361432,0.75,0.3247471811644705,0.19999999999999996,77.24895290107723,RAISE_CASH
2023-12-26,2023-12-27,main,GREEN,0.75,0.65,0.03,-0.19945903723995773,0.55,0.04690058286878,0.09999999999999998,39.00296764037141,RELEASE_CASH
2023-12-27,2023-12-28,main,GREEN,0.65,0.55,0.03,-0.1994178909027743,0.55,0.0468621111843234,0.09999999999999998,39.004972321371305,RELEASE_CASH
2023-12-28,2023-12-29,main,GREEN,0.55,0.75,0.03,-0.20133733991111546,0.75,0.0470763019825188,0.19999999999999996,77.8229105969105,RAISE_CASH
2024-01-19,2024-01-22,main,GREEN,0.75,0.65,0.03,-0.1988058575827174,0.55,0.0651777253812315,0.09999999999999998,39.03479105256366,RELEASE_CASH
2024-01-22,2024-01-23,main,GREEN,0.65,0.55,0.03,-0.19855253192314803,0.55,0.0650792855599164,0.09999999999999998,39.04713327234039,RELEASE_CASH
2024-01-31,2024-02-01,main,GREEN,0.55,0.75,0.03,-0.20217536856151197,0.75,0.0656801411869695,0.19999999999999996,77.74125180403517,RAISE_CASH
2024-02-02,2024-02-05,main,GREEN,0.75,0.65,0.03,-0.1973477494276621,0.55,0.0679551664238766,0.09999999999999998,39.105831196458,RELEASE_CASH
2024-02-05,2024-02-06,main,GREEN,0.65,0.55,0.03,-0.19519164450578952,0.55,0.0674278081178286,0.09999999999999998,39.210878276381436,RELEASE_CASH
2024-02-29,2024-03-01,main,GREEN,0.55,0.45000000000000007,0.03,-0.1467397594730674,0.35,0.0598582342214302,0.09999999999999998,41.571491151868614,RELEASE_CASH
2024-03-01,2024-03-04,main,GREEN,0.45000000000000007,0.3500000000000001,0.03,-0.13255416534651687,0.35,0.0703547901152648,0.09999999999999998,42.262624141203396,RELEASE_CASH
2024-04-18,2024-04-19,main,WATCH,0.3500000000000001,0.55,0.15,-0.1562955816367415,0.55,0.0370547695441904,0.19999999999999996,82.21184838313948,RAISE_CASH
2024-04-25,2024-04-26,main,WATCH,0.55,0.45000000000000007,0.15,-0.14972966357513484,0.35,0.0364594238059375,0.09999999999999998,41.42582073852875,RELEASE_CASH
2024-04-26,2024-04-29,main,WATCH,0.45000000000000007,0.3500000000000001,0.15,-0.13526389320171384,0.35,0.0353888844604104,0.09999999999999998,42.130604128778195,RELEASE_CASH
2024-05-01,2024-05-02,main,WATCH,0.3500000000000001,0.55,0.15,-0.1510584534462488,0.55,0.0800688701976339,0.19999999999999996,82.72216216055824,RAISE_CASH
2024-05-02,2024-05-03,main,WATCH,0.55,0.45000000000000007,0.15,-0.1454398418479418,0.35,0.0789198517803848,0.09999999999999998,41.634824132223706,RELEASE_CASH
2024-05-03,2024-05-06,main,WATCH,0.45000000000000007,0.3500000000000001,0.15,-0.14095119110215681,0.35,0.0781990569280263,0.09999999999999998,41.85351462768965,RELEASE_CASH
2024-05-15,2024-05-16,main,GREEN,0.3500000000000001,0.2500000000000001,0.03,-0.09537121975045182,0.0,0.0726764998964958,0.09999999999999998,44.07420567334258,RELEASE_CASH
2024-05-16,2024-05-17,main,GREEN,0.2500000000000001,0.35,0.03,-0.12388623634796359,0.35,0.075600296274628,0.09999999999999987,42.68493226779067,RAISE_CASH
2024-05-28,2024-05-29,main,GREEN,0.35,0.24999999999999997,0.03,-0.09913241510577231,0.0,0.0726509022409109,0.1,43.89095736056805,RELEASE_CASH
2024-05-29,2024-05-30,main,GREEN,0.24999999999999997,0.35,0.03,-0.11079312290577903,0.35,0.0738096734980777,0.1,43.32283876308935,RAISE_CASH
2024-07-17,2024-07-18,main,GREEN,0.35,0.55,0.03,-0.15207635551268617,0.55,0.0298673535833715,0.20000000000000007,82.62297622703292,RAISE_CASH
2024-07-22,2024-07-23,main,GREEN,0.55,0.45000000000000007,0.03,-0.14571304002858254,0.35,0.0293614734780739,0.09999999999999998,41.62151370802979,RELEASE_CASH
2024-07-23,2024-07-24,main,GREEN,0.45000000000000007,0.3500000000000001,0.03,-0.14074514802319316,0.35,0.0290504416387358,0.09999999999999998,41.86355320399639,RELEASE_CASH
2024-07-24,2024-07-25,main,GREEN,0.3500000000000001,0.55,0.03,-0.15823609388234028,0.55,0.0299501791939825,0.19999999999999996,82.02276190326745,RAISE_CASH
2024-07-31,2024-08-01,main,WATCH,0.55,0.45000000000000007,0.15,-0.14246108083552456,0.35,0.0287643862422455,0.09999999999999998,41.779951645718015,RELEASE_CASH
2024-08-01,2024-08-02,main,WATCH,0.45000000000000007,0.3500000000000001,0.15,-0.14798413947463118,0.35,0.090757079406933,0.09999999999999998,41.5108640069865,RELEASE_CASH
